,age,income,debt_to_income,credit_score,loan_amount,approved
0,59,34153.45757675927,0.312268557923668,655.135058404009,26105.760073865185,0
1,49,32598.64092057699,0.526204569842049,572.8982661254923,5000.0,0
2,35,33340.04221195975,0.5266026652593747,609.0931454471196,17425.974842262312,0
3,63,90682.45501242476,0.32530269554422975,653.2701873443685,34945.367752142694,1
4,28,21007.62116612787,0.17764940965017148,597.969458522885,6278.66973802834,1
5,41,31154.577933056717,0.4152812544480521,622.2298937989625,5000.0,0
6,59,77007.74262952793,0.3310211838053397,703.1529033267375,15987.42695901009,1
7,39,30900.436402069456,0.6278825474149516,629.1887484126925,6850.6325991975555,0
8,43,22745.216580346074,0.35759481124246567,624.4834693258215,5000.0,1
9,31,41419.5114927208,0.36596816154915035,587.7989130546591,5000.0,0
10,31,54329.37147659589,0.4710469799165501,613.5067706011865,22633.598459911198,0
11,44,29839.23791427899,0.35049135320511826,649.5550354125668,12854.93270123712,1
12,56,47915.01478781279,0.45415340977459895,694.3101345087427,11040.175291739706,1
13,60,18245.841188552622,0.2691453882920759,542.5228597261244,5312.174781033661,0
14,44,18760.07946247222,0.18221596283279168,706.2575916135305,7793.7253284442995,1
15,23,29142.616310272202,0.21311470435124844,623.2722031447191,5000.0,1
16,42,48776.73371402135,0.2994312605491106,643.3988024982347,5000.0,1
17,22,53143.388908494395,0.3677931122696053,699.3211788960868,16041.92197088641,1
18,44,20110.392018191775,0.42485559429037384,805.7475642213255,5000.0,1
19,64,52167.258869786885,0.41834715948997747,688.1253502984084,11208.271199498873,1
20,50,39468.3167019881,0.3515111099154527,615.6094566121549,16610.63416841102,0
21,58,23397.808726034473,0.18948597266849473,662.9560385077483,5169.561553691186,1
22,22,18637.03155075004,0.45482391074173073,679.479510329256,7237.570101335791,1
23,41,40737.79552337663,0.12479839183501693,551.813381989933,26681.118026418375,0
24,53,69201.76257945251,0.17486203396106828,574.1315598899319,49822.05730602597,0
25,32,36966.272261002676,0.35677935186560417,678.1897141071978,17485.742067988816,1
26,42,22754.986229728074,0.46946785806516994,687.0339815228549,5000.0,1
27,64,14271.058102495346,0.4440967851519282,676.4737823267169,6083.381316415198,1
28,45,78021.94587299826,0.3349498411797063,695.5996462488242,47670.62534924091,0
29,47,61140.226812399225,0.41671257961721975,624.0983031897327,21606.010039707326,0
30,62,42236.43112445539,0.19018190410409838,725.6368244053685,7045.460338217306,1
31,48,76038.64551385274,0.26573043002722535,777.5112816989159,16576.088405959712,1
32,36,40617.713757178644,0.26800440457740715,604.8745862320088,22173.960364091345,0
33,35,27847.027988090405,0.20376842556822625,561.8555988913695,5391.602791437664,1
34,64,47933.318326565706,0.29610625687589914,644.8660611725866,5252.460418811859,1
35,23,23983.878677811877,0.3186763782509707,711.4869938854729,5000.0,1
36,57,22074.449580009776,0.2806558637166845,696.27854379877,6877.350330322902,1
37,27,53412.68560082036,0.3114882465121033,660.0212401225152,13647.364402585821,1
38,41,55708.01903036071,0.05,488.22140853306524,5000.0,0
39,29,19208.935872193317,0.40785386707627724,601.4775264715801,5000.0,0
40,59,19567.027511240376,0.28915775424357526,727.3314826238523,13293.744345135125,1
41,38,29070.382552977844,0.28901601692282125,527.8010901513226,9807.085499432878,0
42,24,25446.85868231552,0.1417570858928554,651.4461360450181,10747.74425939719,1
43,45,46085.073051922336,0.5826508905388146,609.8620094099502,5000.0,0
44,34,37198.54471318851,0.5897508075443226,695.763081381006,16106.81944725966,1
45,29,65020.19083140567,0.0997163068459175,533.2802965576611,39081.482499003236,0
46,46,42558.243951107135,0.31467046689663614,628.9238971522317,15474.369752045473,1
47,22,26310.189725509703,0.4891688950813029,660.9700403997987,5000.0,1
48,40,14107.129248676029,0.2962197567529707,625.3843621148096,6039.2466525039,1
49,48,39724.68223041606,0.25907961066162993,692.1858850699117,18365.65350561539,1
50,27,15441.839342470048,0.2493371706792699,542.1286249208038,5000.0,0
51,64,26147.853488118897,0.3969057285324084,571.4595290159671,13433.811463832368,0
52,28,25314.600698202998,0.7423090347630692,627.1498814426252,9878.719792034415,0
53,55,28163.62251816376,0.4741851531947315,673.5777096464249,5000.0,1
54,34,18806.970850949707,0.18371637410859534,685.8913676190659,5000.0,1
55,37,25269.70928454383,0.2556675436485234,662.1005314205524,5881.268061299339,1
56,56,64405.3697112469,0.30983687449316566,585.6087068958785,18586.75927541506,0
57,60,64316.67731042059,0.22112495385247358,608.206379963549,19237.722147821438,1
58,24,78139.41544652994,0.19314736001019633,727.3985614037803,35777.81472657244,1
59,22,36500.20890109541,0.4624894754712246,791.4744070286952,16967.915353249835,1
60,26,41589.77257453077,0.2745597551385699,692.6298706504946,25915.247478993246,1
61,62,64880.71498527244,0.4057722229020703,674.1013526232158,23859.531468178222,1
62,24,17407.727947739284,0.617364307718453,569.2331428833272,10362.421678042263,0
63,49,54329.04455049669,0.2713497244621686,663.7899109898933,26415.92695613009,0
